title,rating,number_of_reviews,bought_in_last_month,total_price,listed_price,is_sponsored,is_couponed,buy_box_availability
"jbl vibe beam - true wireless jbl deep bass sound earbuds, bluetooth 5.2, water & dust resistant, hands-free call with voiceaware, up to 32 hours of battery life (black)",4.3,26559,10000,69.95,69.95,0,no,0
"apple pencil pro: latest model - device compatibility check required - pixel-perfect precision, tilt and pressure sensitivity, perfect for note-taking, drawing, and art. charges and pairs magnetically",4.6,4676,10000,69.95,69.95,0,no,0
"energizer aa and aaa batteries, 48 count, combo pack contains 24 max double a and 24 max triple a batteries",4.8,70083,40000,23.1,38.98,0,no,1
"amazon basics file folders with tabs for filing, 1/3-cut tab, assorted positions, 8.5x11 inches, letter size, manila, pack of 100",4.8,53340,70000,11.1,14.39,0,no,1
"duracell coppertop aaa batteries with power boost ingredients, 24 count pack triple a battery with long-lasting power, alkaline aaa battery for household and office devices",4.8,67965,60000,20.39,21.89,0,no,1
"hp officejet pro 8125e wireless all-in-one color inkjet printer, print, scan, copy, adf, duplex printing, home & office, 3 months of instant ink included (405t6a)",4.1,450,20000,119.99,169.99,0,no,1
"scotch thermal laminating pouches, for use with thermal laminators, 8.9 x 11.4 inches, letter size sheets, 100-pack",4.9,72360,70000,11.99,19.99,0,no,1
"tp-link ac1200 wifi extender, 2025 wirecutter best wifi extender, 1.2gbps home signal booster, dual band 5ghz/2.4ghz, up to 1600 sq.ft and 32 devices, easymesh compatible, one ethernet port (re315)",4.2,33507,10000,19.99,29.99,0,no,1
"samsung galaxy tab a9+ tablet 11” 64gb android tablet, big screen, quad speakers, upgraded chipset, multi window display, slim, light, durable design, us version, 2024, graphite",4.4,15848,10000,159.0,219.99,0,no,1
"apple watch series 10 [gps 42mm case] smartwatch with rose gold aluminium case with light blush sport band - s/m. fitness tracker, ecg app, always-on retina display, water resistant",4.7,11785,10000,69.95,69.95,0,no,0
sharpie permanent markers bulk set fine tip markers set for plastic metal wood and more black 36 count,4.8,10981,50000,17.97,17.97,0,no,1
texas instruments ti-30xa scientific calculator,4.7,17495,60000,10.82,15.0,0,no,1
"sandisk 128gb extreme pro sdxc uhs-i memory card - c10, u3, v30, 4k uhd, sd card - sdsdxxd-128g-gn4in",4.8,72492,10000,21.99,24.99,0,no,1
